1;10-1;1;sol;vide;vide;vide;vide
2;10-1;2;sol;mur;herse;mur;vide
3;10-1;3;sol;mur;vide;mur;herse
4;10-1;4;sol;mur;vide;mur;vide
5;10-1;5;sol;vide;vide;vide;vide
6;10-1;6;sol;vide;mur;mur;mur
7;10-1;7;sol;mur;vide;vide;mur
8;10-1;8;sol;mur;vide;vide;vide
9;10-1;9;sol;mur;mur;vide;vide
10;10-1;10;sol;vide;mur;vide;mur
11;10-1;11;sol;mur;vide;vide;mur
12;10-1;12;sol;vide;vide;vide;vide
13;10-1;13;twist;vide;vide;vide;vide
14;10-1;14;sol;vide;vide;vide;vide
15;10-1;15;sol;vide;mur;vide;vide
16;10-1;16;sol;vide;mur;vide;mur
17;10-1;17;sol;vide;vide;mur;mur
18;10-1;18;sol;vide;vide;mur;vide
19;10-1;19;sol;vide;mur;mur;vide
20;10-1;20;sol;vide;mur;mur;mur
21;10-1;21;sol;vide;vide;vide;vide
22;10-1;22;sol;mur;vide;mur;vide
23;10-1;23;sol;mur;herse;mur;vide
24;10-1;24;sol;mur;vide;mur;herse
25;10-1;25;sol;mur;vide;vide;vide
26;10-2;1;sol;vide;mur;vide;mur
27;10-2;2;sol;mur;vide;vide;mur
28;10-2;3;fosse;mur;vide;vide;vide
29;10-2;4;sol;vide;mur;mur;vide
30;10-2;5;sol;vide;mur;vide;mur
31;10-2;6;sol;vide;mur;mur;vide
32;10-2;7;sol;vide;mur;vide;mur
33;10-2;8;sol;vide;mur;vide;mur
34;10-2;9;twist;mur;vide;vide;mur
35;10-2;10;sol;vide;mur;mur;vide
36;10-2;11;sol;mur;vide;mur;vide
37;10-2;12;sol;vide;mur;vide;vide
38;10-2;13;sol;vide;vide;vide;mur
39;10-2;14;sol;vide;vide;mur;vide
40;10-2;15;sol;mur;mur;vide;vide
41;10-2;16;sol;mur;mur;vide;vide
42;10-2;17;sol;vide;mur;vide;mur
43;10-2;18;sol;vide;vide;mur;mur
44;10-2;19;sol;mur;mur;vide;vide
45;10-2;20;fosse;vide;vide;vide;mur
46;10-2;21;sol;vide;vide;mur;mur
47;10-2;22;sol;vide;vide;mur;vide
48;10-2;23;sol;mur;vide;mur;vide
49;10-2;24;sol;vide;mur;vide;vide
50;10-2;25;sol;vide;vide;vide;mur
51;11-1;1;sol;vide;vide;mur;vide
52;11-1;2;sol;vide;mur;vide;vide
53;11-1;3;sol;vide;vide;mur;mur
54;11-1;4;fosse;vide;vide;mur;vide
55;11-1;5;sol;mur;mur;vide;vide
56;11-1;6;sol;mur;mur;vide;vide
57;11-1;7;sol;vide;vide;mur;mur
58;11-1;8;sol;mur;vide;mur;vide
59;11-1;9;sol;mur;mur;vide;vide
60;11-1;10;sol;vide;vide;vide;mur
61;11-1;11;fosse;vide;vide;vide;vide
62;11-1;12;twist;mur;vide;mur;vide
63;11-1;13;sol;mur;herse;mur;vide
64;11-1;14;sol;vide;herse;vide;herse
65;11-1;15;sol;vide;vide;vide;herse
66;11-1;16;sol;vide;mur;mur;vide
67;11-1;17;sol;mur;vide;vide;mur
68;11-1;18;sol;mur;vide;mur;vide
69;11-1;19;sol;vide;mur;mur;vide
70;11-1;20;sol;vide;vide;vide;mur
71;11-1;21;sol;mur;vide;vide;vide
72;11-1;22;sol;vide;mur;vide;vide
73;11-1;23;sol;mur;vide;vide;mur
74;11-1;24;sol;mur;vide;vide;vide
75;11-1;25;fosse;vide;vide;vide;vide
76;11-2;1;fosse;vide;vide;mur;vide
77;11-2;2;sol;vide;vide;mur;vide
78;11-2;3;sol;vide;vide;herse;vide
79;11-2;4;sol;vide;vide;mur;vide
80;11-2;5;sol;vide;vide;vide;vide
81;11-2;6;sol;mur;mur;vide;vide
82;11-2;7;sol;mur;vide;vide;mur
83;11-2;8;sol;herse;mur;vide;vide
84;11-2;9;sol;mur;vide;mur;mur
85;11-2;10;sol;vide;vide;mur;vide
86;11-2;11;sol;vide;mur;vide;vide
87;11-2;12;sol;vide;vide;vide;mur
88;11-2;13;sol;vide;mur;vide;vide
89;11-2;14;sol;mur;herse;vide;mur
90;11-2;15;twist;mur;vide;mur;herse
91;11-2;16;sol;vide;mur;vide;vide
92;11-2;17;sol;vide;vide;mur;mur
93;11-2;18;fosse;vide;mur;vide;vide
94;11-2;19;sol;vide;vide;mur;mur
95;11-2;20;sol;mur;vide;vide;vide
96;11-2;21;fosse;vide;vide;vide;vide
97;11-2;22;sol;mur;vide;vide;vide
98;11-2;23;sol;vide;vide;vide;vide
99;11-2;24;sol;mur;mur;vide;vide
100;11-2;25;sol;vide;vide;vide;mur
101;1-1;1;fosse;vide;vide;vide;vide
102;1-1;2;sol;mur;vide;mur;vide
103;1-1;3;sol;vide;vide;mur;vide
104;1-1;4;sol;vide;mur;vide;vide
105;1-1;5;sol;mur;mur;vide;mur
106;1-1;6;sol;vide;mur;vide;vide
107;1-1;7;sol;mur;vide;vide;mur
108;1-1;8;sol;mur;vide;vide;vide
109;1-1;9;sol;vide;mur;vide;vide
110;1-1;10;sol;vide;vide;vide;mur
111;1-1;11;sol;vide;mur;vide;vide
112;1-1;12;sol;vide;vide;vide;mur
113;1-1;13;twist;vide;vide;vide;vide
114;1-1;14;sol;vide;vide;vide;vide
115;1-1;15;sol;vide;vide;vide;vide
116;1-1;16;sol;vide;mur;vide;vide
117;1-1;17;sol;vide;vide;herse;mur
118;1-1;18;sol;vide;vide;mur;vide
119;1-1;19;sol;vide;mur;mur;vide
120;1-1;20;sol;vide;vide;vide;mur
121;1-1;21;sol;vide;vide;mur;mur
122;1-1;22;sol;herse;vide;vide;vide
123;1-1;23;sol;mur;vide;vide;vide
124;1-1;24;sol;mur;vide;vide;vide
125;1-1;25;sol;vide;mur;mur;vide
126;12-1;1;sol;vide;mur;vide;vide
127;12-1;2;sol;mur;vide;vide;mur
128;12-1;3;sol;mur;vide;vide;vide
129;12-1;4;sol;vide;vide;mur;vide
130;12-1;5;sol;mur;vide;mur;vide
131;12-1;6;sol;vide;vide;mur;vide
132;12-1;7;sol;vide;vide;vide;vide
133;12-1;8;sol;vide;vide;mur;vide
134;12-1;9;sol;mur;vide;mur;vide
135;12-1;10;fosse;mur;vide;vide;vide
136;12-1;11;sol;mur;vide;vide;mur
137;12-1;12;sol;vide;mur;vide;vide
138;12-1;13;twist;mur;vide;vide;mur
139;12-1;14;sol;mur;vide;vide;vide
140;12-1;15;sol;vide;vide;vide;vide
141;12-1;16;sol;vide;vide;mur;vide
142;12-1;17;fosse;vide;vide;vide;vide
143;12-1;18;sol;vide;vide;mur;vide
144;12-1;19;sol;vide;mur;mur;vide
145;12-1;20;sol;vide;vide;vide;mur
146;12-1;21;sol;mur;mur;vide;vide
147;12-1;22;sol;vide;vide;mur;mur
148;12-1;23;sol;mur;vide;vide;vide
149;12-1;24;sol;mur;herse;vide;vide
150;12-1;25;sol;vide;mur;mur;herse
151;12-2;1;fosse;vide;mur;vide;vide
152;12-2;2;sol;vide;vide;herse;mur
153;12-2;3;sol;vide;vide;mur;vide
154;12-2;4;sol;vide;mur;herse;vide
155;12-2;5;fosse;vide;vide;vide;mur
156;12-2;6;sol;vide;mur;vide;vide
157;12-2;7;sol;herse;vide;mur;mur
158;12-2;8;twist;mur;vide;vide;vide
159;12-2;9;sol;herse;mur;mur;vide
160;12-2;10;sol;vide;mur;vide;mur
161;12-2;11;sol;vide;mur;vide;mur
162;12-2;12;sol;mur;vide;herse;mur
163;12-2;13;sol;vide;vide;mur;vide
164;12-2;14;sol;mur;mur;herse;vide
165;12-2;15;sol;vide;mur;vide;mur
166;12-2;16;sol;vide;vide;herse;mur
167;12-2;17;sol;herse;vide;mur;vide
168;12-2;18;sol;mur;vide;mur;vide
169;12-2;19;sol;herse;mur;mur;vide
170;12-2;20;sol;vide;vide;herse;mur
171;12-2;21;sol;herse;vide;vide;vide
172;12-2;22;sol;mur;vide;vide;vide
173;12-2;23;fosse;mur;vide;vide;vide
174;12-2;24;sol;mur;vide;vide;vide
175;12-2;25;sol;herse;vide;vide;vide
176;1-2;1;sol;vide;vide;mur;vide
177;1-2;2;sol;vide;vide;mur;vide
178;1-2;3;sol;vide;vide;herse;vide
179;1-2;4;sol;vide;vide;mur;vide
180;1-2;5;sol;vide;vide;mur;vide
181;1-2;6;sol;mur;mur;mur;vide
182;1-2;7;sol;mur;vide;vide;mur
183;1-2;8;sol;herse;vide;vide;vide
184;1-2;9;sol;mur;vide;vide;vide
185;1-2;10;twist;mur;vide;vide;vide
186;1-2;11;fosse;mur;vide;mur;vide
187;1-2;12;sol;vide;vide;vide;vide
188;1-2;13;sol;vide;vide;vide;vide
189;1-2;14;sol;vide;vide;vide;vide
190;1-2;15;fosse;vide;vide;vide;vide
191;1-2;16;sol;mur;mur;mur;vide
192;1-2;17;sol;vide;vide;mur;mur
193;1-2;18;sol;vide;vide;herse;vide
194;1-2;19;sol;vide;mur;mur;vide
195;1-2;20;sol;vide;vide;mur;mur
196;1-2;21;sol;mur;vide;vide;vide
197;1-2;22;sol;mur;vide;vide;vide
198;1-2;23;sol;herse;vide;vide;vide
199;1-2;24;sol;mur;vide;vide;vide
200;1-2;25;sol;mur;vide;vide;vide
201;13-1;1;sol;vide;vide;herse;mur
202;13-1;2;sol;vide;mur;mur;vide
203;13-1;3;lave;vide;mur;vide;mur
204;13-1;4;sol;vide;vide;mur;mur
205;13-1;5;sol;vide;mur;herse;vide
206;13-1;6;sol;herse;vide;vide;vide
207;13-1;7;lave;mur;vide;vide;vide
208;13-1;8;lave;vide;vide;vide;vide
209;13-1;9;lave;mur;vide;vide;vide
210;13-1;10;sol;herse;vide;vide;vide
