1;0;sol;aucun;ouvert;ouvert;ouvert;ouvert
1;1;sol;aucun;ouvert;ouvert;ouvert;mur
1;2;sol;aucun;ouvert;ouvert;ouvert;mur
2;0;sol;aucun;ouvert;ouvert;ouvert;mur
2;1;sol;aucun;ouvert;ouvert;mur;herse
2;2;sol;aucun;mur;ouvert;ouvert;ouvert
3;0;sol;aucun;mur;ouvert;ouvert;ouvert
3;1;sol;aucun;ouvert;ouvert;ouvert;ouvert
3;2;sol;aucun;ouvert;ouvert;ouvert;herse
4;0;sol;aucun;ouvert;ouvert;ouvert;ouvert
4;1;sol;aucun;ouvert;ouvert;ouvert;mur
4;2;sol;aucun;ouvert;mur;ouvert;ouvert
5;0;sol;aucun;ouvert;mur;ouvert;ouvert
5;1;sol;aucun;ouvert;ouvert;ouvert;ouvert
5;2;sol;aucun;ouvert;mur;mur;ouvert
6;0;sol;aucun;ouvert;ouvert;ouvert;ouvert
6;1;sol;aucun;ouvert;ouvert;ouvert;ouvert
6;2;sol;aucun;ouvert;ouvert;mur;ouvert
7;0;sol;aucun;ouvert;ouvert;ouvert;mur
7;1;sol;aucun;ouvert;ouvert;ouvert;mur
7;2;sol;aucun;ouvert;ouvert;ouvert;mur
8;0;sol;aucun;ouvert;ouvert;ouvert;mur
8;1;fosse;aucun;ouvert;ouvert;ouvert;mur
8;2;sol;aucun;ouvert;mur;ouvert;ouvert
9;0;sol;aucun;ouvert;ouvert;ouvert;mur
9;1;sol;aucun;ouvert;mur;mur;ouvert
9;2;sol;aucun;mur;ouvert;mur;ouvert
31;0;bibliotheque;aucun;mur;mur;herse;mur
31;1;sol;aucun;herse;ouvert;ouvert;ouvert
31;2;sol;aucun;ouvert;mur;ouvert;ouvert
32;0;sol;aucun;ouvert;ouvert;ouvert;ouvert
32;1;fontaine;aucun;ouvert;ouvert;mur;ouvert
32;2;sol;aucun;mur;ouvert;ouvert;ouvert
33;0;sol;aucun;ouvert;ouvert;ouvert;ouvert
33;1;sol;aucun;ouvert;ouvert;herse;mur
33;2;armurerie;aucun;herse;mur;herse;mur
34;0;sol;aucun;mur;ouvert;ouvert;ouvert
34;1;sol;aucun;ouvert;mur;ouvert;ouvert
34;2;sol;aucun;ouvert;ouvert;mur;ouvert
35;0;sol;aucun;ouvert;mur;ouvert;ouvert
35;1;sol;aucun;ouvert;ouvert;ouvert;mur
35;2;fosse;aucun;ouvert;ouvert;ouvert;ouvert
36;0;sol;aucun;mur;herse;mur;ouvert
36;1;sol;aucun;mur;ouvert;mur;ouvert
36;2;sol;aucun;mur;ouvert;ouvert;ouvert
