1;sol;aucun;ouvert;ouvert;ouvert;ouvert
2;sol;aucun;ouvert;ouvert;pentemontante;ouvert
3;sol;aucun;ouvert;mur;ouvert;ouvert
4;sol;aucun;ouvert;mur;ouvert;mur
5;sol;aucun;ouvert;mur;herse;mur
6;sol;aucun;ouvert;pentemontante;ouvert;ouvert
7;sol;aucun;ouvert;ouvert;pentedescendante;pentedescendante
8;sol;aucun;ouvert;pentedescendante;pentemontante;ouvert
9;sol;aucun;ouvert;ouvert;ouvert;ouvert
10;sol;aucun;herse;pentedescendante;pentemontante;ouvert
11;sol;aucun;ouvert;pentemontante;ouvert;ouvert
12;sol;aucun;ouvert;ouvert;ouvert;pentedescendante
13;arbre;aucun;ouvert;ouvert;ouvert;ouvert
14;sol;aucun;pentedescendante;ouvert;ouvert;ouvert
15;sol;aucun;pentedescendante;ouvert;ouvert;ouvert
16;sol;aucun;ouvert;pentemontante;ouvert;ouvert
17;chuttepierre;aucun;ouvert;ouvert;ouvert;pentedescendante
18;sol;aucun;ouvert;mur;ouvert;ouvert
19;fosse;aucun;ouvert;ouvert;ouvert;mur
20;sol;aucun;ouvert;pentedescendante;mur;ouvert
21;fosse;aucun;ouvert;pentemontante;ouvert;ouvert
22;twist;aucun;ouvert;ouvert;pentedescendante;pentedescendante
23;sol;aucun;ouvert;herse;pentedescendante;ouvert
24;sol;aucun;ouvert;ouvert;pentedescendante;herse
25;sol;aucun;mur;mur;ouvert;ouvert
