1;sol;aucun;ouvert;ouvert;ouvert;ouvert
2;sol;aucun;ouvert;ouvert;mur;ouvert
3;sol;aucun;mur;ouvert;herse;ouvert
4;fosse;aucun;ouvert;ouvert;mur;ouvert
5;sol;aucun;mur;mur;ouvert;ouvert
6;sol;aucun;ouvert;mur;ouvert;ouvert
7;sol;brume;mur;ouvert;ouvert;mur
8;sol;brume;herse;ouvert;ouvert;ouvert
9;sol;brume;mur;mur;ouvert;ouvert
10;sol;aucun;ouvert;ouvert;ouvert;mur
11;chuttepierre;aucun;ouvert;ouvert;ouvert;ouvert
12;sol;brume;ouvert;ouvert;ouvert;ouvert
13;twist;aucun;ouvert;ouvert;ouvert;ouvert
14;sol;brume;ouvert;ouvert;ouvert;ouvert
15;sol;aucun;ouvert;ouvert;mur;ouvert
16;sol;aucun;ouvert;mur;ouvert;mur
17;sol;brume;ouvert;ouvert;mur;mur
18;sol;brume;ouvert;ouvert;ouvert;ouvert
19;sol;brume;ouvert;mur;mur;ouvert
20;sol;aucun;mur;ouvert;ouvert;mur
21;sol;aucun;ouvert;ouvert;ouvert;mur
22;sol;aucun;mur;ouvert;mur;ouvert
23;sol;aucun;ouvert;ouvert;herse;ouvert
24;sol;aucun;mur;ouvert;mur;ouvert
25;sol;aucun;ouvert;ouvert;ouvert;ouvert
