1;lave;aucun;ouvert;ouvert;mur;ouvert
2;pontlave;brume;ouvert;ouvert;ouvert;ouvert
3;lave;aucun;ouvert;mur;ouvert;ouvert
4;sol;brume;ouvert;ouvert;mur;mur
5;sol;aucun;ouvert;mur;ouvert;ouvert
6;sol;aucun;mur;ouvert;ouvert;ouvert
7;sol;aucun;ouvert;mur;ouvert;ouvert
8;lave;aucun;ouvert;ouvert;ouvert;mur
9;lave;aucun;mur;ouvert;ouvert;ouvert
10;lave;aucun;ouvert;ouvert;ouvert;ouvert
11;twist;aucun;ouvert;mur;ouvert;ouvert
12;sol;aucun;ouvert;ouvert;ouvert;mur
13;sol;aucun;ouvert;ouvert;mur;ouvert
14;sol;aucun;ouvert;ouvert;ouvert;ouvert
15;sol;aucun;ouvert;ouvert;ouvert;ouvert
16;sol;aucun;ouvert;ouvert;mur;ouvert
17;sol;aucun;ouvert;pentedescendante;ouvert;ouvert
18;eau;aucun;mur;ouvert;ouvert;pentemontante
19;eau;aucun;ouvert;ouvert;ouvert;ouvert
20;eau;aucun;ouvert;ouvert;mur;ouvert
21;eau;aucun;mur;ouvert;ouvert;ouvert
22;ponteau;aucun;ouvert;ouvert;ouvert;ouvert
23;eau;aucun;ouvert;ouvert;ouvert;ouvert
24;sol;aucun;ouvert;herse;ouvert;ouvert
25;armurerie;aucun;mur;ouvert;mur;herse
