1;sol;aucun;ouvert;ouvert;herse;ouvert
2;sol;aucun;ouvert;mur;mur;ouvert
3;sol;aucun;ouvert;mur;ouvert;mur
4;sol;aucun;ouvert;ouvert;mur;mur
5;sol;aucun;ouvert;ouvert;meurtriere;ouvert
6;sol;aucun;herse;mur;ouvert;ouvert
7;sol;aucun;mur;ouvert;mur;ouvert
8;sol;aucun;ouvert;ouvert;mur;ouvert
9;sol;aucun;mur;ouvert;mur;ouvert
10;sol;aucun;meurtriere;mur;ouvert;ouvert
11;sol;aucun;ouvert;ouvert;ouvert;mur
12;sol;aucun;mur;ouvert;mur;ouvert
13;sol;aucun;mur;ouvert;ouvert;ouvert
14;sol;aucun;mur;ouvert;mur;ouvert
15;sol;aucun;ouvert;ouvert;ouvert;ouvert
16;fosse;aucun;ouvert;ouvert;ouvert;ouvert
17;sol;aucun;mur;mur;ouvert;ouvert
18;sol;aucun;ouvert;mur;ouvert;mur
19;twist;aucun;mur;ouvert;ouvert;mur
20;sol;aucun;ouvert;mur;ouvert;ouvert
21;sol;aucun;ouvert;ouvert;mur;ouvert
22;sol;aucun;ouvert;herse;ouvert;ouvert
23;sol;aucun;ouvert;ouvert;mur;herse
24;sol;aucun;ouvert;ouvert;ouvert;ouvert
25;fosse;aucun;ouvert;ouvert;ouvert;ouvert
