10-1;1;sol;aucun;ouvert;ouvert;ouvert;ouvert
10-1;2;sol;aucun;mur;herse;mur;ouvert
10-1;3;sol;aucun;mur;ouvert;mur;herse
10-1;4;sol;aucun;mur;ouvert;mur;ouvert
10-1;5;sol;aucun;ouvert;ouvert;ouvert;ouvert
10-1;6;sol;aucun;ouvert;mur;mur;mur
10-1;7;sol;aucun;mur;ouvert;ouvert;mur
10-1;8;sol;aucun;mur;ouvert;ouvert;ouvert
10-1;9;sol;aucun;mur;mur;ouvert;ouvert
10-1;10;sol;aucun;ouvert;mur;ouvert;mur
10-1;11;sol;aucun;mur;ouvert;ouvert;mur
10-1;12;sol;aucun;ouvert;ouvert;ouvert;ouvert
10-1;13;twist;aucun;ouvert;ouvert;ouvert;ouvert
10-1;14;sol;aucun;ouvert;ouvert;ouvert;ouvert
10-1;15;sol;aucun;ouvert;mur;ouvert;ouvert
10-1;16;sol;aucun;ouvert;mur;ouvert;mur
10-1;17;sol;aucun;ouvert;ouvert;mur;mur
10-1;18;sol;aucun;ouvert;ouvert;mur;ouvert
10-1;19;sol;aucun;ouvert;mur;mur;ouvert
10-1;20;sol;aucun;ouvert;mur;mur;mur
10-1;21;sol;aucun;ouvert;ouvert;ouvert;ouvert
10-1;22;sol;aucun;mur;ouvert;mur;ouvert
10-1;23;sol;aucun;mur;herse;mur;ouvert
10-1;24;sol;aucun;mur;ouvert;mur;herse
10-1;25;sol;aucun;mur;ouvert;ouvert;ouvert
10-2;1;sol;aucun;ouvert;mur;ouvert;mur
10-2;2;sol;aucun;mur;ouvert;ouvert;mur
10-2;3;fosse;aucun;mur;ouvert;ouvert;ouvert
10-2;4;sol;aucun;ouvert;mur;mur;ouvert
10-2;5;sol;aucun;ouvert;mur;ouvert;mur
10-2;6;sol;aucun;ouvert;mur;mur;ouvert
10-2;7;sol;aucun;ouvert;mur;ouvert;mur
10-2;8;sol;aucun;ouvert;mur;ouvert;mur
10-2;9;twist;aucun;mur;ouvert;ouvert;mur
10-2;10;sol;aucun;ouvert;mur;mur;ouvert
10-2;11;sol;aucun;mur;ouvert;mur;ouvert
10-2;12;sol;aucun;ouvert;mur;ouvert;ouvert
10-2;13;sol;aucun;ouvert;ouvert;ouvert;mur
10-2;14;sol;aucun;ouvert;ouvert;mur;ouvert
10-2;15;sol;aucun;mur;mur;ouvert;ouvert
10-2;16;sol;aucun;mur;mur;ouvert;ouvert
10-2;17;sol;aucun;ouvert;mur;ouvert;mur
10-2;18;sol;aucun;ouvert;ouvert;mur;mur
10-2;19;sol;aucun;mur;mur;ouvert;ouvert
10-2;20;fosse;aucun;ouvert;ouvert;ouvert;mur
10-2;21;sol;aucun;ouvert;ouvert;mur;mur
10-2;22;sol;aucun;ouvert;ouvert;mur;ouvert
10-2;23;sol;aucun;mur;ouvert;mur;ouvert
10-2;24;sol;aucun;ouvert;mur;ouvert;ouvert
10-2;25;sol;aucun;ouvert;ouvert;ouvert;mur
11-1;1;sol;aucun;ouvert;ouvert;mur;ouvert
11-1;2;sol;aucun;ouvert;mur;ouvert;ouvert
11-1;3;sol;aucun;ouvert;ouvert;mur;mur
11-1;4;fosse;aucun;ouvert;ouvert;mur;ouvert
11-1;5;sol;aucun;mur;mur;ouvert;ouvert
11-1;6;sol;aucun;mur;mur;ouvert;ouvert
11-1;7;sol;aucun;ouvert;ouvert;mur;mur
11-1;8;sol;aucun;mur;ouvert;mur;ouvert
11-1;9;sol;aucun;mur;mur;ouvert;ouvert
11-1;10;sol;aucun;ouvert;ouvert;ouvert;mur
11-1;11;fosse;aucun;ouvert;ouvert;ouvert;ouvert
11-1;12;twist;aucun;mur;ouvert;mur;ouvert
11-1;13;sol;aucun;mur;herse;mur;ouvert
11-1;14;sol;aucun;ouvert;herse;ouvert;herse
11-1;15;sol;aucun;ouvert;ouvert;ouvert;herse
11-1;16;sol;aucun;ouvert;mur;mur;ouvert
11-1;17;sol;aucun;mur;ouvert;ouvert;mur
11-1;18;sol;aucun;mur;ouvert;mur;ouvert
11-1;19;sol;aucun;ouvert;mur;mur;ouvert
